cell,arm,rollout,reward_mean,raw_reward_mean,mean_response_tokens,kl_to_init,response_entropy,credit_ess_ratio,credit_w_std,credit_w_max
Llama-base,grpo,139,1.933187484741211,2.7379684448242188,608.0,0.10366883873939514,0.8887626528739929,,,
Llama-base,grpo,140,5.6319427490234375,6.63873291015625,652.03125,0.11284028738737106,0.8714852333068848,,,
Llama-base,grpo,141,11.73353099822998,13.5675048828125,906.375,0.09506279975175858,0.7681128978729248,,,
Llama-base,grpo,142,9.79724407196045,11.192733764648438,689.640625,0.1057312935590744,0.8272638916969299,,,
Llama-base,grpo,143,5.744658470153809,6.7123870849609375,819.71875,0.11515232175588608,0.7967086434364319,,,
Llama-base,grpo,144,-5.725528717041016,-3.435455322265625,945.390625,0.09475281089544296,0.9785037040710449,,,
Llama-base,grpo,145,3.246617317199707,4.202665328979492,443.546875,0.17140412330627441,0.6991512775421143,,,
Llama-base,grpo,146,9.504178047180176,9.841178894042969,561.609375,0.10402654111385345,0.8985836505889893,,,
Llama-base,grpo,147,10.46753215789795,10.4884033203125,435.34375,0.12556952238082886,0.8736516833305359,,,
Llama-base,grpo,148,0.11281046271324158,0.21448516845703125,480.796875,0.11592084914445877,0.9101787805557251,,,
Llama-base,grpo,149,2.492887020111084,2.9334774017333984,574.1875,0.10105045884847641,0.8605197668075562,,,
Llama-base,grpo,150,-0.6698251962661743,0.5284423828125,582.34375,0.09172694385051727,0.9682705998420715,,,
Llama-base,grpo,151,6.243451118469238,6.45465087890625,436.234375,0.12116646766662598,1.0098556280136108,,,
Llama-base,grpo,152,10.587018966674805,11.205108642578125,643.234375,0.06598535180091858,0.8109013438224792,,,
Llama-base,grpo,153,4.716218948364258,5.1562347412109375,534.0625,0.08891424536705017,0.9090511202812195,,,
Llama-base,grpo,154,3.9666740894317627,4.3523101806640625,560.90625,0.0813848227262497,0.9976732134819031,,,
Llama-base,grpo,155,-0.35946163535118103,0.0365142822265625,613.96875,0.07742932438850403,1.0394536256790161,,,
Llama-base,grpo,156,4.245748519897461,4.62774658203125,556.5,0.08836573362350464,0.8932863473892212,,,
Llama-base,grpo,157,-0.20761756598949432,0.28371429443359375,529.859375,0.06783849000930786,0.9347940683364868,,,
Llama-base,grpo,158,6.5362548828125,6.5362548828125,243.25,0.07697191834449768,1.092879056930542,,,
Llama-base,grpo,159,3.865968704223633,4.669792175292969,661.90625,0.05587223544716835,1.17450749874115,,,
Llama-base,grpo,160,2.217926025390625,2.217926025390625,404.203125,0.06562011688947678,1.1687374114990234,,,
Llama-base,grpo,161,3.335357189178467,3.87628173828125,457.109375,0.07610290497541428,1.3971457481384277,,,
Llama-base,grpo,162,-1.8967384099960327,-1.8961639404296875,351.71875,0.09084662795066833,1.0489457845687866,,,
Llama-base,grpo,163,-4.885445594787598,-4.8793182373046875,268.09375,0.07920525968074799,0.9303922057151794,,,
Llama-base,grpo,164,1.8278350830078125,1.8278350830078125,326.03125,0.10207338631153107,1.1116403341293335,,,
Llama-base,grpo,165,0.5164794921875,0.5164794921875,340.40625,0.10420103371143341,1.2416648864746094,,,
Llama-base,grpo,166,-4.262263298034668,-3.083526611328125,442.875,0.06254462152719498,1.1543593406677246,,,
Llama-base,grpo,167,-1.839618444442749,-1.6400985717773438,380.234375,0.05867859348654747,1.0354440212249756,,,
Llama-base,grpo,168,-3.58052396774292,-3.5186767578125,522.53125,0.05102921277284622,0.9657773375511169,,,
Llama-base,grpo,169,-0.2487640380859375,-0.2487640380859375,282.21875,0.07666776329278946,0.7713130116462708,,,
Llama-base,grpo,170,-1.393531322479248,-0.5719003677368164,422.734375,0.05756932124495506,1.064923644065857,,,
Llama-base,grpo,171,-0.9048100709915161,-0.18255615234375,506.875,0.06651423871517181,0.7601507306098938,,,
Llama-base,grpo,172,6.3553009033203125,6.418296813964844,442.015625,0.06362210959196091,1.101720929145813,,,
Llama-base,grpo,173,-4.52398681640625,-4.52398681640625,270.671875,0.10747403651475906,0.9335004091262817,,,
Llama-base,grpo,174,4.864542007446289,4.934814453125,456.21875,0.0698573961853981,1.0570380687713623,,,
Llama-base,grpo,175,4.809675216674805,4.865203857421875,399.15625,0.06945132464170456,0.8217481970787048,,,
Llama-base,grpo,176,4.0872955322265625,4.0872955322265625,308.953125,0.07592814415693283,0.9937000870704651,,,
Llama-base,grpo,177,6.249887943267822,6.249887943267822,413.875,0.062496867030858994,0.8987026810646057,,,
Llama-base,grpo,178,5.881500244140625,5.881500244140625,369.171875,0.07128295302391052,0.7390906810760498,,,
Llama-base,grpo,179,7.290938377380371,7.291130065917969,426.625,0.06739874929189682,0.8853617310523987,,,
Llama-base,grpo,180,4.996173858642578,5.0679779052734375,429.984375,0.07770261913537979,0.9467801451683044,,,
Llama-base,grpo,181,5.330093860626221,5.589546203613281,400.171875,0.06841614097356796,0.6480326056480408,,,
Llama-base,grpo,182,1.5043344497680664,2.568950653076172,583.015625,0.08684363216161728,0.9574564695358276,,,
Llama-base,grpo,183,2.1391968727111816,2.265380859375,341.40625,0.11809778958559036,1.0379225015640259,,,
Llama-base,grpo,184,0.4199622869491577,1.1833839416503906,507.21875,0.10158547013998032,0.6696124076843262,,,
Llama-base,grpo,185,3.3351426124572754,4.192962646484375,722.546875,0.06223521754145622,1.0158358812332153,,,
Llama-base,grpo,186,6.535373687744141,6.74676513671875,395.984375,0.09543224424123764,0.7569820284843445,,,
Llama-base,grpo,187,-1.5244052410125732,-1.41851806640625,466.796875,0.07837767153978348,0.647087037563324,,,
Llama-base,grpo,188,5.522361755371094,5.579039096832275,403.84375,0.09995957463979721,0.9878382682800293,,,
Llama-base,grpo,189,7.986981391906738,8.8863525390625,620.8125,0.07691201567649841,0.820493757724762,,,
